date,CARDINAL,DATE,EVENT,FAC,GPE,LANGUAGE,LAW,LOC,MONEY,NORP,ORDINAL,ORG,PERCENT,PERSON,PRODUCT,QUANTITY,TIME,WORK_OF_ART
2016-11-28,14,14,1,2,12,0,0,2,0,0,0,43,2,17,1,1,6,0
2016-11-29,6,21,0,2,12,1,1,0,0,4,2,31,0,46,1,0,4,2
2016-11-30,6,18,1,3,13,0,0,0,0,2,6,31,1,43,2,2,4,2
2016-12-01,16,32,1,2,10,0,0,1,0,3,6,29,0,42,1,0,3,1
2016-12-02,4,15,1,1,15,0,0,0,0,4,6,20,0,48,1,0,4,2
2016-12-03,11,20,2,1,24,0,0,2,0,2,5,32,0,20,3,1,7,4
2016-12-04,12,24,4,3,17,0,0,4,2,7,5,52,0,26,0,0,3,0
2016-12-05,14,23,3,0,8,0,0,0,0,4,2,23,1,31,0,0,5,6
2016-12-06,17,26,0,3,10,0,0,0,1,4,0,40,0,56,3,0,2,1
2016-12-08,12,27,1,2,19,0,0,8,0,1,5,23,0,32,4,7,8,5
2016-12-09,12,22,0,0,5,0,1,1,0,7,1,31,1,34,0,0,6,6
2016-12-10,19,28,1,3,21,0,1,4,0,3,4,40,0,33,1,3,4,1
2016-12-11,18,18,0,1,11,0,0,2,0,5,3,29,0,48,3,0,2,3
2016-12-12,5,32,2,0,9,0,0,1,0,6,6,35,0,45,1,0,7,1
2016-12-13,11,14,2,3,18,0,0,1,0,5,1,33,0,48,0,0,3,4
2016-12-14,17,22,4,4,9,0,0,1,0,2,2,38,0,44,0,0,5,4
2016-12-15,13,15,0,1,8,0,0,3,0,1,3,17,0,38,3,0,2,0
2016-12-16,8,27,0,1,13,0,0,0,0,3,7,23,0,37,0,0,4,1
2016-12-17,6,29,0,3,15,0,1,0,0,1,5,36,0,46,1,1,6,5
2016-12-18,10,37,1,1,10,0,0,0,0,5,5,32,0,46,0,0,2,3
2016-12-19,18,20,2,1,19,0,0,2,0,4,3,23,0,51,1,1,5,1
2016-12-20,8,21,1,0,11,0,0,1,0,4,6,26,0,51,2,1,6,2
2016-12-21,20,13,2,2,5,0,0,0,0,1,0,29,0,29,2,0,2,2
2016-12-22,10,24,0,2,10,0,0,1,0,4,0,29,0,41,2,0,5,1
2016-12-23,7,15,1,0,14,0,1,3,1,2,2,27,0,21,1,1,2,0
2016-12-24,8,31,0,2,11,0,1,2,0,5,5,37,0,37,2,1,5,1
2016-12-25,13,34,0,3,7,1,0,0,1,0,5,32,0,33,0,0,3,5
2016-12-26,7,24,2,6,18,0,0,0,0,2,1,37,0,44,4,0,4,0
2016-12-27,7,35,7,2,18,0,0,0,0,4,0,28,0,36,3,1,3,1
2016-12-28,13,17,3,1,18,0,0,2,0,6,7,25,0,34,2,1,3,1
2016-12-29,11,27,2,3,17,0,0,0,0,6,4,32,0,43,0,1,5,1
2016-12-30,15,26,7,3,16,0,0,2,0,4,3,25,0,36,5,3,4,0
2016-12-31,11,23,15,3,17,0,0,0,0,0,0,24,0,44,1,0,8,4
2017-01-01,8,37,9,6,13,0,1,1,0,2,4,43,0,24,1,1,2,2
2017-01-02,13,30,6,5,7,0,0,2,0,3,3,33,0,40,3,1,4,3
2017-01-03,12,29,2,4,8,0,0,0,0,3,4,33,0,50,3,1,3,0
2017-01-04,8,15,0,3,11,0,0,0,0,7,4,31,0,39,0,1,4,2
2017-01-05,13,28,2,1,12,0,1,3,0,5,1,41,0,25,2,0,2,1
2017-01-06,8,25,0,4,17,0,0,1,1,4,3,39,0,35,0,1,4,2
2017-01-07,17,20,2,6,19,0,0,4,0,6,3,41,0,33,3,0,3,1
2017-01-08,7,18,4,11,9,0,0,1,0,1,5,20,0,54,0,0,0,2
2017-01-09,7,23,1,5,9,0,0,2,0,4,3,31,0,32,1,1,3,4
2017-01-10,15,16,1,1,10,0,0,4,0,3,2,33,0,30,0,0,4,2
2017-01-11,6,16,2,4,22,1,0,0,0,3,2,23,0,52,3,2,6,2
2017-01-12,17,17,1,1,6,0,0,0,0,6,4,23,0,40,2,0,6,6
2017-01-13,9,25,0,2,9,0,0,0,0,5,1,27,0,49,1,0,5,2
2017-01-14,12,22,2,5,14,0,1,0,0,7,5,30,0,37,2,0,3,2
2017-01-15,12,23,1,2,6,0,0,2,0,1,4,25,0,56,1,0,2,3
2017-01-16,14,24,4,4,11,0,0,1,0,2,2,30,0,44,3,0,3,3
2017-01-17,6,21,2,3,12,0,0,1,0,4,5,26,0,47,1,3,7,0
2017-01-18,4,23,0,3,8,0,0,1,0,1,6,32,0,44,0,0,3,2
2017-01-19,11,16,0,5,15,0,0,1,0,7,11,32,2,46,0,0,3,0
2017-01-20,6,9,1,4,15,0,2,0,0,3,6,34,0,41,2,0,4,1
2017-01-21,14,21,7,3,21,0,0,0,0,0,1,25,0,44,2,1,7,3
2017-01-22,10,21,3,3,7,0,1,3,0,1,1,30,0,50,2,1,6,4
2017-01-23,15,19,0,3,19,0,0,3,0,7,0,28,0,26,0,1,1,2
2017-01-24,12,17,0,1,16,2,0,1,0,2,8,26,0,52,0,0,6,4
2017-01-25,13,24,2,3,23,0,0,0,0,3,5,28,0,36,0,0,3,1
2017-01-26,2,16,3,1,8,0,0,3,0,7,5,23,0,34,1,0,7,0
2017-01-27,10,24,2,6,17,0,0,2,0,4,3,26,0,36,1,0,2,0
2017-01-28,22,24,3,4,19,0,2,1,0,5,4,45,0,34,7,0,2,0
2017-01-29,21,15,3,2,11,0,0,1,0,3,6,39,0,45,2,0,2,0
2017-01-30,11,12,1,2,11,0,3,1,0,6,3,36,4,43,0,0,4,2
2017-01-31,19,25,0,0,7,0,0,0,0,5,2,37,0,40,1,0,3,4
2017-02-01,12,26,2,6,12,0,0,1,0,2,6,32,0,40,0,0,5,2
2017-02-02,15,13,1,1,9,0,1,2,0,7,3,38,1,34,1,0,3,3
2017-02-03,8,15,1,2,9,0,1,0,1,1,3,24,1,37,0,0,4,3
2017-02-04,6,17,7,4,12,0,0,1,0,9,1,20,0,35,0,0,6,2
2017-02-05,9,16,15,7,5,0,0,2,0,5,7,21,0,38,3,0,4,0
2017-02-06,4,22,7,5,17,0,0,3,0,4,5,17,0,51,1,0,5,1
2017-02-07,14,22,0,3,14,0,0,5,0,5,4,28,0,58,0,2,7,0
2017-02-08,9,23,0,1,25,0,1,1,1,3,1,22,0,33,0,2,3,0
2017-02-09,6,15,1,6,6,0,1,2,0,3,0,20,0,42,1,0,4,5
2017-02-10,17,15,2,1,17,0,0,1,0,4,5,20,0,44,1,0,4,2
2017-02-11,8,7,3,2,20,0,1,1,0,8,6,16,0,36,0,0,2,4
2017-02-12,8,25,2,3,17,0,0,1,0,1,5,20,0,34,0,0,3,6
2017-02-13,5,25,5,0,13,0,0,0,0,8,1,16,0,21,0,0,0,1
2017-02-14,8,19,3,3,11,0,0,3,0,0,0,32,0,41,2,0,6,2
2017-02-15,10,23,1,2,15,0,0,0,0,3,2,37,0,47,0,0,2,6
2017-02-16,8,19,2,2,8,0,1,0,0,1,4,35,0,41,2,0,1,3
2017-02-17,8,18,1,3,6,0,0,4,0,5,1,25,2,44,1,1,2,4
2017-02-18,19,33,1,2,11,0,1,2,0,0,5,48,0,59,2,0,3,2
2017-02-19,15,20,3,2,13,0,0,1,0,1,4,28,0,20,3,1,4,2
2017-02-20,11,14,2,2,17,0,0,2,0,6,2,34,1,44,0,0,8,1
2017-02-21,11,21,0,1,18,0,2,1,0,3,1,26,0,51,2,0,3,0
2017-02-22,8,11,0,4,10,0,1,1,0,1,3,20,0,36,2,0,2,3
2017-02-23,13,18,0,3,21,0,0,2,0,3,4,37,0,35,1,0,3,3
2017-02-24,11,23,0,2,8,0,0,2,0,2,4,27,0,35,2,0,2,5
2017-02-25,16,14,0,2,11,0,0,0,3,2,3,20,0,36,0,0,7,0
2017-02-26,16,15,0,2,6,0,0,1,0,6,5,28,0,62,2,1,6,4
2017-02-27,21,17,2,2,18,0,1,3,0,1,5,27,0,44,2,2,7,2
2017-02-28,10,25,0,5,15,0,0,2,0,10,5,36,0,42,2,0,3,0
2017-03-01,17,22,2,4,14,0,0,4,0,5,4,21,0,35,0,0,10,2
2017-03-02,8,16,1,2,13,0,0,0,0,10,4,24,1,31,5,0,5,6
2017-03-03,10,11,0,1,4,0,0,1,0,3,3,21,0,30,0,1,3,3
2017-03-04,6,21,0,2,9,0,0,5,0,8,8,32,0,59,1,0,4,4
2017-03-05,13,12,2,2,14,0,0,1,0,2,5,18,1,42,0,0,7,5
2017-03-06,17,18,1,3,9,0,0,1,0,8,3,36,0,30,0,1,0,0
2017-03-07,17,24,0,2,10,1,1,3,0,6,2,42,0,28,1,1,5,0
2017-03-08,7,13,5,2,14,0,2,1,0,2,2,32,0,37,0,4,6,0
2017-03-09,15,27,2,2,15,0,0,3,0,0,2,31,0,50,0,2,4,1
2017-03-10,12,19,1,1,8,0,0,2,0,11,2,31,0,47,1,0,2,2
2017-03-11,8,31,3,2,16,0,0,2,0,2,2,34,1,39,2,3,7,3
2017-03-13,14,30,0,3,16,0,0,6,1,2,4,41,0,43,0,1,7,2
2017-03-14,22,22,1,1,18,0,0,3,1,8,5,38,0,38,0,3,4,1
2017-03-15,16,27,1,2,12,0,0,2,0,1,5,26,0,32,0,1,5,2
2017-03-16,9,18,2,0,18,0,0,0,0,3,7,34,0,27,1,0,1,1
2017-03-17,16,36,0,4,10,0,0,0,0,2,6,39,0,23,0,0,4,5
2017-03-18,11,19,1,7,13,0,2,1,0,14,4,32,0,32,1,0,5,2
2017-03-19,23,19,0,4,17,0,0,2,0,2,3,42,0,38,2,0,1,0
2017-03-20,16,35,2,3,22,0,2,0,1,0,7,27,3,27,2,0,2,0
2017-03-21,13,27,0,4,10,0,0,1,0,5,2,24,0,38,0,0,3,7
2017-03-22,13,14,2,3,15,0,0,1,0,0,0,36,3,26,1,0,3,0
2017-03-23,16,20,2,1,9,0,0,2,0,1,3,27,0,38,0,0,3,1
2017-03-24,13,23,2,1,23,0,0,1,0,2,4,25,0,30,1,0,2,3
2017-03-25,13,14,7,2,24,0,1,0,0,4,5,26,0,33,0,0,6,2
2017-03-26,15,11,2,1,13,0,0,1,0,0,3,22,1,25,0,0,2,2
2017-03-27,20,9,1,1,19,0,2,0,0,3,2,24,0,29,0,0,0,2
2017-03-28,17,16,0,1,11,0,0,2,0,9,1,36,0,22,1,0,2,3
2017-03-29,5,26,3,1,22,0,0,2,0,5,1,19,0,48,0,0,1,2
2017-03-30,9,21,2,2,13,0,2,2,0,4,2,21,0,33,4,0,3,3
2017-03-31,11,28,0,4,11,0,0,3,0,4,4,16,0,28,1,0,4,2
2017-04-01,18,18,1,1,11,0,0,1,0,0,3,20,0,41,1,3,3,2
2017-04-02,12,21,5,5,15,0,0,0,0,3,0,39,0,47,5,1,6,3
2017-04-03,13,20,5,5,5,0,1,1,0,1,7,41,0,36,1,0,3,1
2017-04-04,18,26,0,4,13,0,0,0,0,8,5,35,1,32,2,0,2,0
2017-04-05,7,20,0,3,8,0,0,1,1,6,4,24,0,38,0,0,2,1
2017-04-06,14,23,0,4,21,0,0,0,0,2,3,29,0,37,1,0,0,0
2017-04-07,7,16,3,3,16,0,0,0,0,6,6,26,0,42,3,0,4,1
2017-04-09,11,15,0,5,7,0,0,1,0,2,3,25,0,23,1,1,3,1
2017-04-10,16,25,0,3,9,0,0,4,1,5,8,29,0,35,2,1,0,1
2017-04-11,9,27,1,5,10,0,0,1,0,2,2,39,0,29,0,0,6,3
2017-04-12,13,22,2,0,11,0,2,1,0,4,3,43,1,36,4,0,2,2
2017-04-13,10,19,3,4,7,0,0,3,0,4,4,37,0,40,0,0,1,3
2017-04-14,13,16,1,3,16,0,0,2,0,9,6,28,0,45,0,1,6,1
2017-04-15,8,19,3,6,7,0,0,1,0,1,0,26,0,31,2,0,8,2
2017-04-16,19,18,2,2,7,0,1,0,0,3,2,30,0,41,1,2,7,5
2017-04-17,6,19,5,5,10,0,2,3,0,5,1,30,0,34,0,0,8,5
2017-04-18,15,25,3,1,8,0,1,2,0,8,0,24,0,33,1,0,3,1
2017-04-19,19,13,0,0,19,0,1,3,1,1,2,31,0,28,1,0,5,1
2017-04-20,8,19,4,3,15,0,0,1,3,4,0,39,0,46,2,0,2,1
2017-04-21,19,32,5,0,17,0,0,3,0,2,2,34,0,31,3,0,3,1
2017-04-22,8,18,5,3,10,0,0,2,0,2,7,35,1,28,0,0,7,0
2017-04-23,13,14,7,3,9,0,0,0,0,3,0,17,0,28,0,0,0,1
2017-04-24,10,12,4,2,14,0,0,1,0,3,8,30,0,32,1,0,0,1
2017-04-25,8,27,1,1,10,0,2,1,1,5,4,28,0,42,1,0,1,1
2017-04-26,6,24,1,3,12,0,0,1,0,2,0,25,0,44,4,0,4,0
2017-04-27,14,21,6,5,11,0,2,0,0,3,5,38,0,34,1,1,6,2
2017-04-28,9,26,1,0,19,0,0,4,0,6,14,41,1,46,2,0,4,0
2017-04-29,12,15,2,4,11,0,0,1,0,2,11,35,0,49,2,0,2,2
2017-04-30,8,18,1,7,22,0,1,0,0,0,8,30,0,57,3,0,3,2
2017-05-01,9,25,2,2,12,0,0,0,0,3,1,34,0,25,3,0,2,2
2017-05-02,12,19,5,1,10,0,0,0,0,1,1,23,0,27,0,0,2,1
2017-05-03,20,19,1,2,13,0,1,1,0,2,3,30,0,44,3,1,7,3
2017-05-04,10,15,2,1,17,0,0,5,1,0,1,32,0,44,1,0,9,1
